true_count,ev,freq
-5,-0.045394188710685276,0.09602
-4,-0.027014704206086856,0.043865
-3,-0.01592687210601948,0.06263
-2,-0.006261249396373853,0.113895
-1,-0.014217261447060633,0.15443375
0,-0.010292955458476938,0.227765
1,-0.003780441701930464,0.10250125
2,-0.009039924699976469,0.063745
3,0.009192538218061822,0.0371225
4,0.014257881686149486,0.02823
5,0.011546483909415971,0.01678
6,0.013950701814447106,0.014605
7,0.0036918138041733546,0.0077875
8,-0.0009111617312072893,0.00823125
9,-0.021771998790444513,0.00413375
10,0.04813749657628047,0.018255
