threshold_baseline,default,double,count_fractional,count_hi_lo,split_fractional,split_hi_lo
-0.0859,-0.06185,-0.029575,-0.267925,-0.201425,-0.20205,-0.1609
-0.0859,-0.0573,-0.03005,-0.19445,-0.12965,-0.1792,-0.1674
-0.0859,-0.0573,-0.017625,-0.16745,-0.119825,-0.15765,-0.1292
-0.0859,-0.04545,-0.0454,-0.149125,-0.11085,-0.1357,-0.10335
-0.0859,-0.05285,-0.02285,-0.13825,-0.084525,-0.13485,-0.0986
-0.0859,-0.046,-0.035575,-0.120525,-0.076225,-0.12315,-0.088
-0.0859,-0.0409,-0.0145,-0.131575,-0.0666,-0.10405,-0.07645
-0.0859,-0.03805,-0.016575,-0.107575,-0.071275,-0.1272,-0.08285
-0.0859,-0.04375,-0.018025,-0.09745,-0.06005,-0.1071,-0.0875
-0.0859,-0.05405,-0.0202,-0.096775,-0.081525,-0.10235,-0.0843
-0.0859,-0.03175,-0.0188,-0.082075,-0.059325,-0.08775,-0.0921
-0.0859,-0.0364,-0.024925,-0.08685,-0.060975,-0.09855,-0.0653
-0.0859,-0.03435,-0.0095,-0.082675,-0.06385,-0.1047,-0.0661
-0.0859,-0.04545,-0.0321,-0.0702,-0.0535,-0.0981,-0.0896
-0.0859,-0.05685,-0.00815,-0.06535,-0.050075,-0.09325,-0.0713
-0.0859,-0.03545,-0.00435,-0.075525,-0.05865,-0.1056,-0.07885
-0.0859,-0.0458,-0.004875,-0.0727,-0.047425,-0.1034,-0.072
-0.0859,-0.0465,-0.0219,-0.056375,-0.043325,-0.0914,-0.09085
-0.0859,-0.0469,-0.0213,-0.076525,-0.05005,-0.0877,-0.0782
-0.0859,-0.03475,-0.006975,-0.06955,-0.05175,-0.08095,-0.0667
-0.0859,-0.04275,-0.0238,-0.0728,-0.039975,-0.0937,-0.0784
-0.0859,-0.04475,-0.00885,-0.06855,-0.0475,-0.08725,-0.07905
-0.0859,-0.0412,-0.015525,-0.07,-0.044475,-0.08055,-0.0805
-0.0859,-0.043,-0.015375,-0.0626,-0.036625,-0.0876,-0.08685
-0.0859,-0.04905,0.000275,-0.0607,-0.048225,-0.0798,-0.0671
-0.0859,-0.0451,-0.018,-0.073475,-0.05075,-0.08705,-0.084
-0.0859,-0.04445,-0.0168,-0.0517,-0.0588,-0.0616,-0.0676
-0.0859,-0.04015,-0.0366,-0.053825,-0.0326,-0.08335,-0.0732
-0.0859,-0.044,-0.0086,-0.0541,-0.043075,-0.07785,-0.0712
-0.0859,-0.05445,-0.01275,-0.071275,-0.0422,-0.0925,-0.0583
-0.0859,-0.02605,-0.022175,-0.0748,-0.057475,-0.09285,-0.0746
-0.0859,-0.0569,0.007825,-0.05115,-0.0374,-0.062,-0.06285
-0.0859,-0.0391,-0.02005,-0.0375,-0.038225,-0.07525,-0.0733
-0.0859,-0.05475,-0.002775,-0.057025,-0.03505,-0.0585,-0.074
-0.0859,-0.0451,-0.02255,-0.064325,-0.038875,-0.09085,-0.06625
-0.0859,-0.043,-0.00625,-0.075925,-0.046475,-0.0845,-0.0596
-0.0859,-0.0371,-0.006925,-0.048875,-0.040475,-0.0792,-0.07475
-0.0859,-0.03375,-0.011425,-0.046875,-0.04645,-0.0909,-0.05055
-0.0859,-0.03515,-0.01315,-0.063625,-0.047925,-0.08345,-0.06995
-0.0859,-0.05715,-0.0087,-0.056075,-0.0262,-0.0749,-0.06175
-0.0859,-0.0384,-0.0172,-0.05185,-0.04285,-0.0756,-0.06695
